cfl_a,cfl_b,grid,mae,max_abs,rel_l2,rmse,scenario_id,solver,solver_name
0.3,0.45,32,1.0920218693681203e-05,0.000277009342820822,0.012769514369484548,3.723768717115882e-05,conv_0000,Hydrostatic,swe_hydrostatic
0.3,0.45,64,9.154789147313889e-06,0.0002826055199842692,0.01140331845689178,3.5775667531301484e-05,conv_0000,Hydrostatic,swe_hydrostatic
0.3,0.45,128,4.886822768729239e-06,0.00021184410081476202,0.006403014057330002,2.0708322791447467e-05,conv_0000,Hydrostatic,swe_hydrostatic
0.3,0.45,32,8.215519770347858e-06,0.00028483805349188707,0.013098517120357414,3.34055837994054e-05,conv_0001,Hydrostatic,swe_hydrostatic
0.3,0.45,64,6.9463477029929415e-06,0.0003006089656767408,0.011854109571686271,3.227106247774387e-05,conv_0001,Hydrostatic,swe_hydrostatic
0.3,0.45,128,3.655472017631488e-06,0.0002203295933078664,0.006719019946060387,1.88060370743401e-05,conv_0001,Hydrostatic,swe_hydrostatic
0.3,0.45,32,1.2911927409199999e-05,0.00020142171681003518,0.00800649845159104,3.1687365826799134e-05,conv_0002,Hydrostatic,swe_hydrostatic
0.3,0.45,64,9.878708743648408e-06,0.0002294634948647456,0.006851644270524519,2.8096018455192873e-05,conv_0002,Hydrostatic,swe_hydrostatic
0.3,0.45,128,5.269557700690255e-06,0.00016044251985602997,0.003850503835302505,1.6025902491650483e-05,conv_0002,Hydrostatic,swe_hydrostatic
0.3,0.45,32,4.2967426745232126e-06,0.00031297275678343617,0.007245648819650055,2.2104863538388874e-05,conv_0000,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.6893967709725533e-06,0.00015808580332965505,0.0029191670075110615,9.473067769893857e-06,conv_0000,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,4.1434305109825666e-07,3.8425063856095676e-05,0.0007059528630278819,2.333185237226711e-06,conv_0000,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,3.728453351645438e-06,0.0005269718523590594,0.009604835900599443,2.5318099998126798e-05,conv_0001,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.6996075598864867e-06,0.00022209187308019906,0.0042155275855294775,1.178999051950594e-05,conv_0001,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,4.2693772131970076e-07,5.258341318525872e-05,0.0010161153549467265,2.8986867419076775e-06,conv_0001,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,3.656574509018585e-06,0.00016990707688968598,0.003494351184459093,1.4195872258104172e-05,conv_0002,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.117496645733785e-06,7.094453088063446e-05,0.0011842885517950993,4.946106006151491e-06,conv_0002,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,2.688356276716908e-07,1.677752622164519e-05,0.000280063616037302,1.1786839352662935e-06,conv_0002,MUSCL-HR,swe_muscl_hr
