comparison,mae_count,mae_max,mae_mean,mae_median,mae_min,max_abs_count,max_abs_max,max_abs_mean,max_abs_median,max_abs_min,num_rows,rel_l2_count,rel_l2_max,rel_l2_mean,rel_l2_median,rel_l2_min,rmse_count,rmse_max,rmse_mean,rmse_median,rmse_min,solver,target_cfl
32_vs_restricted_128,3,8.318684577840344e-05,7.068570676234866e-05,7.630598562334486e-05,5.256428888529769e-05,3,0.003977549899321586,0.0033967611116152243,0.0037374896552212072,0.00247524378030288,3,3,0.10495387836514401,0.08986916478647079,0.10294609699285238,0.061707519001415995,3,0.000330906372260928,0.00028865191767894603,0.00028144779027399305,0.00025360159050191706,Hydrostatic,0.3
32_vs_restricted_64,3,5.490018893754099e-05,4.63377600625077e-05,5.003208334022506e-05,3.408100790975704e-05,3,0.002501397452963794,0.002147701713946256,0.002362948266604714,0.0015787594222702594,3,3,0.07002248823193158,0.059547428627888775,0.06775655880421029,0.04086323884752446,3,0.00021419976481897526,0.00018662771603230398,0.00018023305663742448,0.00016545032664051217,Hydrostatic,0.3
64_vs_restricted_128,3,2.8904175296974344e-05,2.4980618104736405e-05,2.7049881163549615e-05,1.898779785368526e-05,3,0.0015895035890635123,0.0013704115930376903,0.0015240338318874835,0.0009976973581620752,3,3,0.038102960253144205,0.03259423446096704,0.03778669343811751,0.021893049691639407,3,0.00012106499203008784,0.00010582055969645601,0.00010570779516361306,9.06888918956671e-05,Hydrostatic,0.3
32_vs_restricted_128,3,7.692713120944553e-05,6.651507695017688e-05,7.23594353827782e-05,5.025866425830692e-05,3,0.004255535946889544,0.0035618600961046473,0.003925827743668009,0.0025042165977563896,3,3,0.10257710368272009,0.08788030516570511,0.10238136086341536,0.05868245095097986,3,0.00032449516730651137,0.0002827195187687951,0.00028184500859256885,0.00024181838040730498,Hydrostatic,0.45
32_vs_restricted_64,3,5.285513895838634e-05,4.5733979332624894e-05,4.9774535682647696e-05,3.457226335684064e-05,3,0.0028221923576263186,0.0023717124160008707,0.0026121810196987894,0.001680763870677504,3,3,0.07148242225344931,0.06104893575788458,0.07112723686027138,0.04053714815993302,3,0.00022078134191293495,0.0001922176812275888,0.00019092213412346697,0.00016494956764636444,Hydrostatic,0.45
64_vs_restricted_128,3,2.4457059175347944e-05,2.124274436086883e-05,2.3167989670632518e-05,1.6103184236626028e-05,3,0.0015740753009096942,0.0013288642921047515,0.0014857857920910766,0.0009267317833134836,3,3,0.03420850449920985,0.02892046249822228,0.033492769503878604,0.01906011349157839,3,0.00010788155646840826,9.414726646222818e-05,9.53903603895499e-05,7.916988252872638e-05,Hydrostatic,0.45
32_vs_restricted_128,3,5.037636601953587e-05,4.5120975181472495e-05,4.621850061346729e-05,3.8768058911414327e-05,3,0.003868394260658714,0.003025067347609045,0.0032297488326534923,0.0019770589495149288,3,3,0.07831428327182223,0.06344386318186064,0.07232287854167942,0.03969442773208028,3,0.00023416314529985222,0.00020626597264021389,0.00021926608361185677,0.00016536868900893266,MUSCL-HR,0.3
32_vs_restricted_64,3,3.8931936807537005e-05,3.493331945184462e-05,3.6190933226184824e-05,2.967708832181203e-05,3,0.002521704594672769,0.002010874350599786,0.0020819628145411495,0.0014289556425854388,3,3,0.05743751761048661,0.0474095924227742,0.054494651980144436,0.030296607677691538,3,0.00017408626089793943,0.0001527043716521182,0.0001584887640903433,0.000125538089968072,MUSCL-HR,0.3
64_vs_restricted_128,3,1.2491277120423342e-05,1.1416693875826512e-05,1.1012691949210219e-05,1.0746112557845973e-05,3,0.0017647561893326946,0.0012926961144352767,0.0015012575687795016,0.0006120745851936338,3,3,0.025561141069384653,0.018935178999846165,0.020994681818576305,0.01024971411157753,3,7.266600571869182e-05,6.161176274574405e-05,6.911752078413985e-05,4.30517617344005e-05,MUSCL-HR,0.3
32_vs_restricted_128,3,5.3240684705908696e-05,4.74402876514206e-05,4.7899340188979034e-05,4.118083805937406e-05,3,0.004350325181429998,0.0033308032034961113,0.003510422487022366,0.00213166194203597,3,3,0.08512211690277435,0.06820510424600203,0.07745317455029262,0.042040021284939104,3,0.00025071809814533445,0.00022136904011849751,0.00023826091847877235,0.00017512810373138577,MUSCL-HR,0.45
32_vs_restricted_64,3,4.128826552207167e-05,3.6870737700455455e-05,3.778092497240922e-05,3.154302260688547e-05,3,0.0028589292768515517,0.00221807237588062,0.0022549336435774836,0.001540354207212824,3,3,0.062195833067368436,0.05084288414901622,0.05831936967949929,0.032013449700180927,3,0.00018612931912764835,0.0001633863713051189,0.00017141698932461396,0.00013261280546309444,MUSCL-HR,0.45
64_vs_restricted_128,3,1.329996299217367e-05,1.2084658892132113e-05,1.1488705566024032e-05,1.1465308118198639e-05,3,0.0019347450997188598,0.001399236877469327,0.0016213624165878904,0.0006416031161012303,3,3,0.028086643149611523,0.020567588684192718,0.02271198148932546,0.010904141413641164,3,7.982219543518886e-05,6.679112366777381e-05,7.475399214959637e-05,4.5797183418536194e-05,MUSCL-HR,0.45
