cfl_a,cfl_b,grid,mae,max_abs,rel_l2,rmse,scenario_id,solver,solver_name
0.3,0.45,32,1.0920218693681203e-05,0.000277009342820822,0.012769514369484548,3.723768717115882e-05,conv_0000,Hydrostatic,swe_hydrostatic
0.3,0.45,64,9.154789147313889e-06,0.0002826055199842692,0.01140331845689178,3.5775667531301484e-05,conv_0000,Hydrostatic,swe_hydrostatic
0.3,0.45,128,4.886822768729239e-06,0.00021184410081476202,0.006403014057330002,2.0708322791447467e-05,conv_0000,Hydrostatic,swe_hydrostatic
0.3,0.45,32,8.215519770347858e-06,0.00028483805349188707,0.013098517120357414,3.34055837994054e-05,conv_0001,Hydrostatic,swe_hydrostatic
0.3,0.45,64,6.9463477029929415e-06,0.0003006089656767408,0.011854109571686271,3.227106247774387e-05,conv_0001,Hydrostatic,swe_hydrostatic
0.3,0.45,128,3.655472017631488e-06,0.0002203295933078664,0.006719019946060387,1.88060370743401e-05,conv_0001,Hydrostatic,swe_hydrostatic
0.3,0.45,32,1.2911927409199999e-05,0.00020142171681003518,0.00800649845159104,3.1687365826799134e-05,conv_0002,Hydrostatic,swe_hydrostatic
0.3,0.45,64,9.878708743648408e-06,0.0002294634948647456,0.006851644270524519,2.8096018455192873e-05,conv_0002,Hydrostatic,swe_hydrostatic
0.3,0.45,128,5.269557700690255e-06,0.00016044251985602997,0.003850503835302505,1.6025902491650483e-05,conv_0002,Hydrostatic,swe_hydrostatic
0.3,0.45,32,5.7729466144081955e-06,0.00016043082678018905,0.007732719472567141,1.8789039171094265e-05,conv_0003,Hydrostatic,swe_hydrostatic
0.3,0.45,64,4.112818499067098e-06,0.00015219069597494084,0.005914593872014928,1.4805891780442636e-05,conv_0003,Hydrostatic,swe_hydrostatic
0.3,0.45,128,2.212330776727879e-06,8.927612177389577e-05,0.0032584144241190062,8.257463358966035e-06,conv_0003,Hydrostatic,swe_hydrostatic
0.3,0.45,32,1.0113317088916284e-05,0.00024795874801530893,0.008230785557259382,3.16026806198941e-05,conv_0004,Hydrostatic,swe_hydrostatic
0.3,0.45,64,7.734679262283103e-06,0.00021586183048660779,0.0065613125997285885,2.6058302739667374e-05,conv_0004,Hydrostatic,swe_hydrostatic
0.3,0.45,128,4.16500450242221e-06,0.00011987300857496663,0.003661103466336464,1.4745996842470726e-05,conv_0004,Hydrostatic,swe_hydrostatic
0.3,0.45,32,2.222197939359314e-05,0.00034246072549626305,0.008026407181487769,5.277588032986585e-05,conv_0005,Hydrostatic,swe_hydrostatic
0.3,0.45,64,1.6129891844804693e-05,0.00032329511373618836,0.0064107722804293025,4.360079658237685e-05,conv_0005,Hydrostatic,swe_hydrostatic
0.3,0.45,128,8.688917338029359e-06,0.00023200218209806778,0.003619604705031088,2.4967913654088445e-05,conv_0005,Hydrostatic,swe_hydrostatic
0.3,0.45,32,1.9849662395714403e-05,0.0002744908575897931,0.009860772432816795,4.941432203738289e-05,conv_0006,Hydrostatic,swe_hydrostatic
0.3,0.45,64,1.5511255064063845e-05,0.0003754877231194609,0.008436957520413749,4.437234146448253e-05,conv_0006,Hydrostatic,swe_hydrostatic
0.3,0.45,128,8.687887057224814e-06,0.0002575952996077824,0.005014198870221657,2.6932125807711897e-05,conv_0006,Hydrostatic,swe_hydrostatic
0.3,0.45,32,6.472592826567772e-06,0.00021740519458535168,0.012339335082313063,2.5804848305008794e-05,conv_0007,Hydrostatic,swe_hydrostatic
0.3,0.45,64,5.172429566838871e-06,0.0002258408216506691,0.010718353205085348,2.3879787249049813e-05,conv_0007,Hydrostatic,swe_hydrostatic
0.3,0.45,128,2.7856256410877054e-06,0.00017712563070770848,0.006252295037114669,1.4314572167598108e-05,conv_0007,Hydrostatic,swe_hydrostatic
0.3,0.45,32,7.232921779442734e-06,0.00021272067988276078,0.011055419428749455,2.7594965719514858e-05,conv_0008,Hydrostatic,swe_hydrostatic
0.3,0.45,64,6.472931939066162e-06,0.00029127854418242727,0.011011917108553882,2.9107262018581448e-05,conv_0008,Hydrostatic,swe_hydrostatic
0.3,0.45,128,3.3218324201420436e-06,0.00021196796339673085,0.006088623797731603,1.6480020966879388e-05,conv_0008,Hydrostatic,swe_hydrostatic
0.3,0.45,32,9.81818723848251e-06,0.0003016507808413227,0.008952882966625594,3.401339667372448e-05,conv_0009,Hydrostatic,swe_hydrostatic
0.3,0.45,64,8.56305608990882e-06,0.00036066868854867096,0.008539845913913846,3.3924089207178336e-05,conv_0009,Hydrostatic,swe_hydrostatic
0.3,0.45,128,4.538147604165913e-06,0.00020946564850499172,0.0047007048371889935,1.9020979322017297e-05,conv_0009,Hydrostatic,swe_hydrostatic
0.3,0.45,32,1.8773507498097072e-05,0.000258946763414869,0.007096362923302981,4.3716195288377855e-05,conv_0010,Hydrostatic,swe_hydrostatic
0.3,0.45,64,1.329175918387388e-05,0.0002480240643050191,0.00549007500833066,3.474021035694464e-05,conv_0010,Hydrostatic,swe_hydrostatic
0.3,0.45,128,7.787490673797598e-06,0.00015610291963574774,0.0033484482328244836,2.1437783872204225e-05,conv_0010,Hydrostatic,swe_hydrostatic
0.3,0.45,32,1.5730139336328974e-05,0.00031669865049299695,0.010290820185914061,4.919820975967736e-05,conv_0011,Hydrostatic,swe_hydrostatic
0.3,0.45,64,1.3613115005398481e-05,0.0003894886944240117,0.009515729339461534,4.7920848316948455e-05,conv_0011,Hydrostatic,swe_hydrostatic
0.3,0.45,128,6.93531238938331e-06,0.00023012220999563127,0.0050091612940421195,2.5755794519777033e-05,conv_0011,Hydrostatic,swe_hydrostatic
0.3,0.45,32,4.2967426745232126e-06,0.00031297275678343617,0.007245648819650055,2.2104863538388874e-05,conv_0000,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.6893967709725533e-06,0.00015808580332965505,0.0029191670075110615,9.473067769893857e-06,conv_0000,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,4.1434305109825666e-07,3.8425063856095676e-05,0.0007059528630278819,2.333185237226711e-06,conv_0000,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,3.728453351645438e-06,0.0005269718523590594,0.009604835900599443,2.5318099998126798e-05,conv_0001,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.6996075598864867e-06,0.00022209187308019906,0.0042155275855294775,1.178999051950594e-05,conv_0001,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,4.2693772131970076e-07,5.258341318525872e-05,0.0010161153549467265,2.8986867419076775e-06,conv_0001,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,3.656574509018585e-06,0.00016990707688968598,0.003494351184459093,1.4195872258104172e-05,conv_0002,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.117496645733785e-06,7.094453088063446e-05,0.0011842885517950993,4.946106006151491e-06,conv_0002,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,2.688356276716908e-07,1.677752622164519e-05,0.000280063616037302,1.1786839352662935e-06,conv_0002,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,9.877668193905738e-07,3.910217742220112e-05,0.0016907296193012233,4.211518558968029e-06,conv_0003,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,3.0879694303621906e-07,2.0974175705568143e-05,0.0005717750768473884,1.4547051945506345e-06,conv_0003,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,7.433484241524207e-08,5.098947924775388e-06,0.0001310388481847061,3.3519858839504865e-07,conv_0003,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,2.708919228128215e-06,0.00028944815267206714,0.003538309126463209,1.394502935116074e-05,conv_0004,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.0217942416341336e-06,9.846473058039429e-05,0.0013657104917405623,5.520410207720091e-06,conv_0004,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,2.5079113250177365e-07,2.6427710316134778e-05,0.00033711116250297924,1.3722084681472156e-06,conv_0004,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,5.226676772969148e-06,0.00030974371016911917,0.002982103573682293,2.0139732024695585e-05,conv_0005,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.737947118859713e-06,9.846076425445993e-05,0.0010934661700439969,7.571390445019314e-06,conv_0005,MUSCL-HR,swe_muscl_hr
