comparison,mae_count,mae_max,mae_mean,mae_median,mae_min,max_abs_count,max_abs_max,max_abs_mean,max_abs_median,max_abs_min,num_rows,rel_l2_count,rel_l2_max,rel_l2_mean,rel_l2_median,rel_l2_min,rmse_count,rmse_max,rmse_mean,rmse_median,rmse_min,solver,target_cfl
32_vs_restricted_128,12,0.00013964808918233673,8.173939464224394e-05,7.35869264940121e-05,3.448862062025607e-05,12,0.004052771536590866,0.003085060907089507,0.003225945257710687,0.0012929597647985264,12,12,0.10495387836514401,0.07618977831050264,0.07440796923468612,0.05045831494519393,12,0.0004372712124672342,0.00029559394157962707,0.00028624917479480735,0.00012654380894820902,Hydrostatic,0.3
32_vs_restricted_64,12,9.134662065631688e-05,5.3809938730115626e-05,4.82844937215494e-05,2.2975707204753257e-05,12,0.0025879553115821796,0.0019610445249511658,0.0020358484198572113,0.0008479310745289625,12,12,0.07002248823193158,0.05044350706551035,0.04929989888708504,0.03379193756594982,12,0.00028228653142801853,0.0001919417785341749,0.0001843520508773806,8.36860404947557e-05,Hydrostatic,0.3
64_vs_restricted_128,12,4.947553728047075e-05,2.8608576828840475e-05,2.600334171667432e-05,1.1586596004584655e-05,12,0.0015895035890635123,0.0012106527349978562,0.0012694017331668916,0.00047685424913312957,12,12,0.038102960253144205,0.027418186608253136,0.026561820544769178,0.017298038309406818,12,0.00016095013512113844,0.00010711316279772986,0.0001057874882226504,4.366035021197962e-05,Hydrostatic,0.3
32_vs_restricted_128,12,0.00013199972442062862,7.62099014310457e-05,6.95604903412122e-05,3.1111067485499374e-05,12,0.004255535946889544,0.0031639983471747706,0.003344644164652112,0.0012152830464283448,12,12,0.10257710368272009,0.07367679176529875,0.0708375971851305,0.04630531207307867,12,0.00042965739183954926,0.00028582921505499733,0.00028128653638897155,0.00011640618447711734,Hydrostatic,0.45
32_vs_restricted_64,12,8.993327160167723e-05,5.238250853912346e-05,4.798785433131542e-05,2.1457536222178593e-05,12,0.0028221923576263186,0.0021189004665670788,0.0022484799030539626,0.0008309455529026955,12,12,0.07148242225344931,0.05106770603589348,0.04948033103343228,0.03214259230787983,12,0.00028966606952588516,0.0001946131462887506,0.00019145026379644467,7.995564266672321e-05,Hydrostatic,0.45
64_vs_restricted_128,12,4.317756369321882e-05,2.4386682846323437e-05,2.2134569353041765e-05,9.69726997671416e-06,12,0.0015740753009096942,0.0011482198576779068,0.0011769011824537268,0.0004129996082494758,12,12,0.03420850449920985,0.024118650596386734,0.022611579658448268,0.014677931759893027,12,0.0001455647286159568,9.445244132499154e-05,9.35802091624222e-05,3.7136720872576995e-05,Hydrostatic,0.45
32_vs_restricted_128,12,9.480704267671754e-05,4.950433682015281e-05,4.4923760509650084e-05,1.615245015660797e-05,12,0.003868394260658714,0.002674433013549244,0.0027882447017614775,0.0008597318829202949,12,12,0.07831428327182223,0.051960453966571694,0.04867757048630367,0.027605258101401447,12,0.00032186231224552914,0.00020216918680781976,0.00020883033096751166,7.004285455170202e-05,MUSCL-HR,0.3
32_vs_restricted_64,12,7.317587543381157e-05,3.868836885586728e-05,3.4937172390717825e-05,1.3017676101284266e-05,12,0.0025541571518140627,0.001910535548123667,0.00202563880422868,0.0006694051712191618,12,12,0.05743751761048661,0.03953085479507365,0.037578344440414024,0.021701956811837016,12,0.00024160364113646733,0.0001528682297642646,0.0001546612306889349,5.486892963638086e-05,MUSCL-HR,0.3
64_vs_restricted_128,12,2.3239287814335298e-05,1.228785702413729e-05,1.097427399539644e-05,3.754728026225749e-06,12,0.0017647561893326946,0.0009305411020065583,0.0009252193000414966,0.00024846206448492225,12,12,0.025561141069384653,0.014521592887111898,0.012769317144896711,0.006737326469840905,12,8.768190615837349e-05,5.637283229052242e-05,5.713384793311014e-05,1.720663006318137e-05,MUSCL-HR,0.3
32_vs_restricted_128,12,0.00010037610656876725,5.1905474778885374e-05,4.673942762266694e-05,1.6779350671810407e-05,12,0.004350325181429998,0.0029103860713949894,0.0030356057826352867,0.0008883593957458857,12,12,0.08512211690277435,0.055509565970137086,0.05118688750495039,0.028746271296948976,12,0.00034449366054272086,0.00021560064111012347,0.00022367962378785471,7.293475852725878e-05,MUSCL-HR,0.45
32_vs_restricted_64,12,7.786896052555193e-05,4.065755403256579e-05,3.64638731938159e-05,1.3536024337347486e-05,12,0.0028589292768515517,0.002087823459013524,0.0021851525685561424,0.000694780304205167,12,12,0.062195833067368436,0.0421624541682197,0.039413067431836826,0.022619927942138175,12,0.0002586016335477291,0.0001627339470317194,0.0001648882076610565,5.718016505889328e-05,MUSCL-HR,0.45
64_vs_restricted_128,12,2.446935840640667e-05,1.2939154886946446e-05,1.151339142492622e-05,3.86595336957326e-06,12,0.0019347450997188598,0.000992699764563204,0.0009674951995512493,0.00026504383784670127,12,12,0.028086643149611523,0.015680647433757317,0.013591520846845988,0.007061882165654808,12,9.441842495875946e-05,6.069141693830802e-05,6.130806293790499e-05,1.803471359686384e-05,MUSCL-HR,0.45
