model,model_method,solver,model_time_per_sample_s,solver_rollout_time_per_sample_s,speedup_vs_solver_rollout,model_samples_per_second,solver_samples_per_second,model_device,model_precision,solver_precision
fno,fno2d,swe_hydrostatic,0.0009042952945307548,33.06463076108313,36563.97524244622,1105.8334661786637,0.030243611033542152,cuda,fp32,float64
ffno,ffno2d,swe_hydrostatic,0.0016637966132805105,33.06463076108313,19873.000399904377,601.0350015247948,0.030243611033542152,cuda,fp32,float64
cnn,cnn,swe_hydrostatic,0.00017138960390639113,33.06463076108313,192920.8657203166,5834.65961299599,0.030243611033542152,cuda,fp32,float64
unet,unet,swe_hydrostatic,0.0002370182398436782,33.06463076108313,139502.47366148027,4219.084576189304,0.030243611033542152,cuda,fp32,float64
fno_modes8,fno2d,swe_hydrostatic,0.0008607554460937194,33.06463076108313,38413.50166430784,1161.7701689117393,0.030243611033542152,cuda,fp32,float64
fno_modes20,fno2d,swe_hydrostatic,0.000954279216406917,33.06463076108313,34648.80109783712,1047.9113270068192,0.030243611033542152,cuda,fp32,float64
ufno,ufno2d,swe_hydrostatic,0.003894618134374639,33.06463076108313,8489.826119086856,256.76458268753237,0.030243611033542152,cuda,fp32,float64
wno,wno2d,swe_hydrostatic,0.0020861848046877184,33.06463076108313,15849.329688714986,479.34391898213937,0.030243611033542152,cuda,fp32,float64
fno_muscl_hr,fno2d,swe_muscl_hr,0.0009050130812497059,72.34055483208333,79933.15934416151,1104.956404187141,0.013823473925560086,cuda,fp32,float64
fno_boussinesq,fno2d,boussinesq,0.0009055517546883607,16.47828665879153,18196.957350562934,1104.299113576499,0.060685111906025845,cuda,fp32,float64
