solver_a,solver_b,split,scenario_id,scenario_key,timestamp_a,timestamp_b,signed_gap_a_minus_b,abs_gap
Hydrostatic,MUSCL-HR,train,scenario_000001,train:scenario_000001,0.17739927768707275,0.17738214135169983,1.7136335372924805e-05,1.7136335372924805e-05
Hydrostatic,MUSCL-HR,train,scenario_000002,train:scenario_000002,0.1774628907442093,0.1774560511112213,6.839632987976074e-06,6.839632987976074e-06
Hydrostatic,MUSCL-HR,train,scenario_000003,train:scenario_000003,0.1774737685918808,0.17747367918491364,8.940696716308594e-08,8.940696716308594e-08
Hydrostatic,MUSCL-HR,train,scenario_000004,train:scenario_000004,0.17745275795459747,0.17745156586170197,1.1920928955078125e-06,1.1920928955078125e-06
Hydrostatic,MUSCL-HR,train,scenario_000005,train:scenario_000005,0.17747147381305695,0.17747177183628082,-2.980232238769531e-07,2.980232238769531e-07
Hydrostatic,MUSCL-HR,train,scenario_000006,train:scenario_000006,0.17743830382823944,0.17742781341075897,1.049041748046875e-05,1.049041748046875e-05
Hydrostatic,MUSCL-HR,train,scenario_000007,train:scenario_000007,0.17740626633167267,0.17739641666412354,9.8496675491333e-06,9.8496675491333e-06
Hydrostatic,MUSCL-HR,train,scenario_000008,train:scenario_000008,0.17746633291244507,0.1774645894765854,1.7434358596801758e-06,1.7434358596801758e-06
Hydrostatic,MUSCL-HR,train,scenario_000009,train:scenario_000009,0.1774081587791443,0.17739234864711761,1.5810132026672363e-05,1.5810132026672363e-05
Hydrostatic,MUSCL-HR,train,scenario_000010,train:scenario_000010,0.17738482356071472,0.17737434804439545,1.0475516319274902e-05,1.0475516319274902e-05
Hydrostatic,MUSCL-HR,train,scenario_000011,train:scenario_000011,0.1768709272146225,0.17674444615840912,0.0001264810562133789,0.0001264810562133789
Hydrostatic,MUSCL-HR,train,scenario_000012,train:scenario_000012,0.1774616837501526,0.17746035754680634,1.3262033462524414e-06,1.3262033462524414e-06
Hydrostatic,MUSCL-HR,train,scenario_000013,train:scenario_000013,0.1774662584066391,0.17746472358703613,1.5348196029663086e-06,1.5348196029663086e-06
Hydrostatic,MUSCL-HR,train,scenario_000014,train:scenario_000014,0.17746052145957947,0.17745938897132874,1.1324882507324219e-06,1.1324882507324219e-06
Hydrostatic,MUSCL-HR,train,scenario_000015,train:scenario_000015,0.17745496332645416,0.17745520174503326,-2.384185791015625e-07,2.384185791015625e-07
Hydrostatic,MUSCL-HR,train,scenario_000016,train:scenario_000016,0.17746198177337646,0.17744402587413788,1.7955899238586426e-05,1.7955899238586426e-05
Hydrostatic,MUSCL-HR,train,scenario_000017,train:scenario_000017,0.1774245649576187,0.17739903926849365,2.5525689125061035e-05,2.5525689125061035e-05
Hydrostatic,MUSCL-HR,train,scenario_000018,train:scenario_000018,0.17742705345153809,0.17742511630058289,1.9371509552001953e-06,1.9371509552001953e-06
Hydrostatic,MUSCL-HR,train,scenario_000019,train:scenario_000019,0.17747396230697632,0.1774739921092987,-2.9802322387695312e-08,2.9802322387695312e-08
Hydrostatic,MUSCL-HR,train,scenario_000020,train:scenario_000020,0.17747384309768677,0.1774740219116211,-1.7881393432617188e-07,1.7881393432617188e-07
Hydrostatic,MUSCL-HR,train,scenario_000021,train:scenario_000021,0.17741496860980988,0.177355095744133,5.987286567687988e-05,5.987286567687988e-05
Hydrostatic,MUSCL-HR,train,scenario_000022,train:scenario_000022,0.17738859355449677,0.17736974358558655,1.8849968910217285e-05,1.8849968910217285e-05
Hydrostatic,MUSCL-HR,train,scenario_000023,train:scenario_000023,0.17746788263320923,0.17746759951114655,2.8312206268310547e-07,2.8312206268310547e-07
Hydrostatic,MUSCL-HR,train,scenario_000024,train:scenario_000024,0.17747290432453156,0.17746753990650177,5.364418029785156e-06,5.364418029785156e-06
Hydrostatic,MUSCL-HR,train,scenario_000025,train:scenario_000025,0.17738525569438934,0.17732854187488556,5.671381950378418e-05,5.671381950378418e-05
Hydrostatic,MUSCL-HR,train,scenario_000026,train:scenario_000026,0.177403524518013,0.17739857733249664,4.947185516357422e-06,4.947185516357422e-06
Hydrostatic,MUSCL-HR,train,scenario_000027,train:scenario_000027,0.17742830514907837,0.17741727828979492,1.1026859283447266e-05,1.1026859283447266e-05
Hydrostatic,MUSCL-HR,train,scenario_000028,train:scenario_000028,0.1774686574935913,0.1774674952030182,1.1622905731201172e-06,1.1622905731201172e-06
Hydrostatic,MUSCL-HR,train,scenario_000029,train:scenario_000029,0.17742487788200378,0.17741701006889343,7.867813110351562e-06,7.867813110351562e-06
Hydrostatic,MUSCL-HR,train,scenario_000030,train:scenario_000030,0.17714838683605194,0.17711229622364044,3.6090612411499023e-05,3.6090612411499023e-05
Hydrostatic,MUSCL-HR,train,scenario_000031,train:scenario_000031,0.1774745136499405,0.17747439444065094,1.1920928955078125e-07,1.1920928955078125e-07
Hydrostatic,MUSCL-HR,train,scenario_000032,train:scenario_000032,0.1774681657552719,0.1774684488773346,-2.8312206268310547e-07,2.8312206268310547e-07
Hydrostatic,MUSCL-HR,train,scenario_000033,train:scenario_000033,0.17747309803962708,0.1774733066558838,-2.086162567138672e-07,2.086162567138672e-07
Hydrostatic,MUSCL-HR,train,scenario_000034,train:scenario_000034,0.17747001349925995,0.17747031152248383,-2.980232238769531e-07,2.980232238769531e-07
Hydrostatic,MUSCL-HR,train,scenario_000035,train:scenario_000035,0.17727263271808624,0.17724861204624176,2.4020671844482422e-05,2.4020671844482422e-05
Hydrostatic,MUSCL-HR,train,scenario_000036,train:scenario_000036,0.17736710608005524,0.1773485690355301,1.8537044525146484e-05,1.8537044525146484e-05
Hydrostatic,MUSCL-HR,train,scenario_000037,train:scenario_000037,0.17747211456298828,0.1774722933769226,-1.7881393432617188e-07,1.7881393432617188e-07
Hydrostatic,MUSCL-HR,train,scenario_000038,train:scenario_000038,0.17739923298358917,0.17738308012485504,1.615285873413086e-05,1.615285873413086e-05
Hydrostatic,MUSCL-HR,train,scenario_000039,train:scenario_000039,0.1774246096611023,0.1774217039346695,2.905726432800293e-06,2.905726432800293e-06
Hydrostatic,MUSCL-HR,train,scenario_000040,train:scenario_000040,0.17723572254180908,0.17718754708766937,4.817545413970947e-05,4.817545413970947e-05
Hydrostatic,MUSCL-HR,train,scenario_000041,train:scenario_000041,0.17744913697242737,0.1774478405714035,1.296401023864746e-06,1.296401023864746e-06
Hydrostatic,MUSCL-HR,train,scenario_000042,train:scenario_000042,0.17738541960716248,0.17736974358558655,1.5676021575927734e-05,1.5676021575927734e-05
Hydrostatic,MUSCL-HR,train,scenario_000043,train:scenario_000043,0.17661266028881073,0.17643405497074127,0.000178605318069458,0.000178605318069458
Hydrostatic,MUSCL-HR,train,scenario_000044,train:scenario_000044,0.17742756009101868,0.17740996181964874,1.7598271369934082e-05,1.7598271369934082e-05
Hydrostatic,MUSCL-HR,train,scenario_000045,train:scenario_000045,0.17746984958648682,0.17747017741203308,-3.2782554626464844e-07,3.2782554626464844e-07
Hydrostatic,MUSCL-HR,train,scenario_000046,train:scenario_000046,0.17741578817367554,0.17739127576351166,2.4512410163879395e-05,2.4512410163879395e-05
Hydrostatic,MUSCL-HR,train,scenario_000047,train:scenario_000047,0.177469402551651,0.17746838927268982,1.0132789611816406e-06,1.0132789611816406e-06
Hydrostatic,MUSCL-HR,train,scenario_000048,train:scenario_000048,0.17741139233112335,0.17740000784397125,1.138448715209961e-05,1.138448715209961e-05
Hydrostatic,MUSCL-HR,train,scenario_000049,train:scenario_000049,0.1774720847606659,0.17747211456298828,-2.9802322387695312e-08,2.9802322387695312e-08
